original,replacement
buzzer,propagandis
buzzerrp,propagandis
kdrt,kekerasan dalam rumah tangga
timeline,lini masa
barudaks,anak anak
kepalanya batu,keras kepala
hacker,peretas
bawaslu,badan pengawas pemilihan umum
bawaslumk,badan pengawas pemilihan umum mahkamah konstitusi
sulbar,sulawesi barat
sulsel,sulawesi selatan
pemkot,pemerintahan kota
diskominfo,dinas komunikasi dan informatika
dgn,dengan
dg,dengan
dngn,dengan
w,dengan
yg,yang
utk,untuk
unt,untuk
unk,untuk
u,untuk
for,untuk
dpt,dapat
udh,sudah
udah,sudah
sdh,sudah
ssudah ,sudah
dah,sudah
udahlah,sudahlah
skrg,sekarang
skrng,sekarang
skrang,sekarang
skr,sekarang
skarang,sekarang
dll,dan lain lain
ndk,tidak
ndak,tidak
nda,tidak
tak,tidak
ngga,tidak
nggak,tidak
nggk,tidak
gag,tidak
g,tidak
ga,tidak
tdk,tidak
tdak,tidak
dak,tidak
kagak,tidak
kgk,tidak
gak,tidak
gk,tidak
ngk,tidak
ora,tidak
tidaj,tidak
nga,tidak
ngak,tidak
gaada,tidak ada
gada,tidak ada
capek,lelah
sblm,sebelum
seblum,sebelum
sbelum,sebelum
sblum,sebelum
klo,kalau
kalo,kalau
klw,kalau
klu,kalau
kakau,kalau
klau,kalau
kl,kalau
lek,kalau 
sharing,membagikan
share,membagikan
ngeshare,membagikan
ngluarin,mengeluarkan
thd,terhadap
thdp,terhadap
menkominfo,kementerian komunikasi dan informasi
gtgt,begitu begitu
gt,begitu
gini,begini
met,selamat
dlm,dalam
daluhulu,dahulu
dulu,dahulu
dlu,dahulu
dl,dahulu
dolo,dahulu
org,orang
orng,orang
wong,orang
orgnya,orangnya
mui,majelis ulama indonesia
uu,undang undang
,
uud,undang undang dasar
ig,instagram
story,cerita
ngetweet,mencuit
difilter,disaring
filter,menyaring
literasidigitalkominfo,literasi digital komunikasi dan informasi
lgi,lagi
lg,lagi
lh,lagi
gocek,menyiasati
kpu,komisi pemilihan umum
kpud,komisi pemilihan umum daerah
kpps,kelompok penyelenggara pemungutan suara
pps,panitia pemungutan suara
tps,tempat pemungutan suara
tpn,tim pemenangan nasional
pki,partai komunis indonesia
tsk,teknik sosial kultural
mk,mahkamah konstitusi
mpr,majelis permusyawaratan rakyat
dpd,dewan perwakilan daerah
dpr,dewan perwakilan rakyat
dprd,dewan perwakilan rakyat daerah
prov,provinsi
kab,kabupaten
dprmpr,dewan perwakilan rakyat majelis permusyawaratan rakyat
jd,jadi
so,jadi
soo,jadi
jdilah,jadi lah
stop,berhenti
disetop,diberhentikan
ai,kecerdasan buatan
drs,doktorandus
pmerintah,pemerintah
agr,agar
dn,dan
n,dan
menjd,menjadi
mnjdi,menjadi
utma,utama
random,acak
caleg,calon anggota legislatif
nyalek,mendaftarkan diri untuk menjadi calon anggota legislatif
rp,rupiah
rb,ribu
jt,juta
jtan,jutaan
jtperbln,juta per bulan
m,miliar
triyun,triliun
kg,kilogram
dapil,daerah pemilihan
hoax,hoaks
bhw,bahwa
krn,karena
krna,karena
karna,karena
krena,karena
cuz,karena
soalnya,karena
pupr,dinas pekerjaan umum dan penataan ruang
settingan,pengaturan
setting,pengaturan
planner,perencana
amp,dan
ampe,sampai
samp,sampai
sampe,sampai
smpai,sampai
smpe,sampai
diseting,diatur
tgl,tanggal
aja,saja
aje,saja
sj,saja
ajaaaaaaa,saja
aj,saja
dr,dari
dri,dari
kmrn,kemarin
kmrin,kemarin
kmaren,kemarin
kemaren ,kemarin
maren ,kemarin
ogah,tidak mau
mw,mau
mo,mau
ri,republik indonesia
nkri,negara kesatuan republik indonesia
ikn,ibu kota nusantara
indo,indonesia
id,indonesia
idn,indonesia
wni,warga negara indonesia
nyobloslah,nyoblos lah
byk,banyak
bnyak,banyak
byak,banyak
bnyk,banyak
bbyk,banyak
ricek,memastikan
check,memeriksa
crosscheck,memeriksa ulang
cc,salinan karbon
sara,suku agama ras dan antargolongan
x,twitter
bo ,pemesanan
vcs,layanan seksual daring
kalteng,kalimantan tengah
kaltim,kalimantan timur
coblosan,pencoblosan
okt,oktober
feb,februari
sept,september
maen,main
asn,aparatur sipil negara
sekda,sekretariat daerah
capem,cabang pembantu
kcp,kantor cabang pembantu
kpk,komisi pemberantas korupsi 
nnti,nanti
msh,masih
masi,masih
bln,bulan
perbulan,per bulan
ngapain,sedang melakukan
pliss,tolong
plis,tolong
please,tolong
dki,daerah khusus ibukota
jkt,jakarta
jakpus,jakarta pusat
jaksel,jakarta selatan
jakut,jakarta utara
jakbar,jakarta barat
jaktim,jakarta timur
sumut,sumatra utara
sumbar,sumatra barat
jabar,jawa barat
jateng,jawa tengah
jatim,jawa timur
ntb,nusa tenggara barat
denial,penyangkalan
fiks,tetap
fix,tetap
tetep,tetap
ttp,tetap
dittpkan,ditetapkan
esemka,sekolah menengah kejuruan
smp,sekolah menengah pertama
sma,sekolah menengah atas
kemenkominfo,kementerian komunikasi dan informasi
kominfo,komunikasi dan informasi
satgas,satuan tugas
satgasus,satuan tugas khusus
scan,memindai
barcode,kode batang
samudera,samudra
pkl,pukul
bmkg,badan metereologi klimatologi dan geofisika
an,atas nama
bri,bank republik indonesia
spay,dompet digital shopee
kamtibmas,keamanan dan ketertiban masyarakat
spt,seperti
sprti,seperti
kek,seperti
kya,seperti
kaya,seperti
kayak,seperti
kyk,seperti
kyknya,sepertinya
kayaknya,sepertinya
knp,kenapa
knapa,kenapa
monggo,silahkan
kapolri,kepala kepolisian negara republik indonesia
polri,kepolisian negara republik indonesia
kapolda,kepala kepolisian daerah
polda,kepolisian daerah
polsek,kepolisian sektor
kapolsek,kepala kepolisian sektor
polairud,direktorat kepolisian perairan dan udara
polres,kepolisian resor
aiptu,ajun inspektur polisi satu
brigpol,brigadir polisi
bripka,brigadir polisi kepala
sekjen,sekretaris jenderal
satlantas,satuan lalu lintas
mabes,markas besar
surepay,survei
survey,survei
surpe,survei
claim,mengeklaim
mengklaim,mengeklaim
capresm,calon presiden
capres,calon presiden
cawapres,calon wakil presiden
caprescawapresnya,calon presiden calon wakil presidennya
pilpres,pemilihan presiden
pileg,pemilihan umum legislatif
pilkada,pemilihan kepala daerah
paslon,pasangan calon
blm,belum
belom,belum
blum,belum
medsos,media sosial
sosmed,media sosial
bermedsos,bermedia sosial
pdip,partai demokrasi indonesia perjuangan
pdi,partai demokrasi indonesia perjuangan
golkar,partai golongan karya
pan,partai amanat nasional
gerindra,partai gerakan indonesia raya
nasdem,partai nasional demokrat
sndiri,sendiri
dpet,dapat
anyep,hambar
preemtif,pencegahan
prebunking,pembekalan informasi
mlh,malah
bhabinkamtibmas,bhayangkara pembina keamanan dan ketertiban masyarakat
kasat,kepala satuan
binmas,pembinaan masyarakat
akp,ajun komisaris polisi
thn,tahun
th,tahun
pertahun,per tahun
buanget,banget
bangett,banget
beud,banget
bet,banget
bgt,banget
bangat,banget
pol,banget
isin,malu
qc,perhitungan cepat hasil pemilihan umum
realcount,hasil perhitungan suara pemilihan umum yang resmi dirilis oleh komisi pemilihan umum
golput,golongan putih
prof,profesor
nyungsep,jatuh ke depan
channel,saluran
ngomng,ngomong
baperan,terbawa perasaan berlebihan
bkl,akan
akn,akan
timnas,tim nasional
kayaknya,sepertinya
tni,tentara nasional indonesia
au,angkatan udara
cawecawe,ikut menangani
kroni,kawan dekat
tau,tahu
truzz,terus
trs,terus
trus,terus
teruss,terus
kecungan,kecurangan
caption,deskripsi singkat 
support,mendukung
utk,untuk
elekktabilitas,elektabilitas
mrk,mereka
mrka,mereka
jurdil,jujur dan adil
luber,langsung umum bebas rahasia
luberjurdil,langsung umum bebas rahasia jujur dan adil
mmg,memang
emang,memang
mmang,memang
emg,memang
mah,memang
maah,memang
emangnya,memangnya
buktix,buktinya
bujtinya,buktinya
menhan,menteri pertahanan
online,daring
offline,luring
adl ,adalah
adlh,adalah 
adlah,adalah
tp,tetapi
tpi,tetapi
tapi,tetapi
menolk,menolak
nolak,menolak
mnolak,menolak
brita,berita
dlam,dalam
nipu,menipu
parpol,partai politik
orba,orde baru
moga,semoga
ibuk,ibu
mak,ibu
buu,ibu
buuuuu,ibu
emaknya,ibunya
ptn,perguruan tinggi negeri
maba,mahasiswa baru
underage,di bawah umur
psi,partai solidaritas indonesia
pks,partai keadilan sejahtera
jg,juga
ngeh,sadar
proxy,strategi
gimmick,strategi
bs,bisa
bsa,bisa
gabisa,tidak bisa
sakitt,sakit
duiknya,duitnya
yaini,yakni
no,nomor
wa,whatsapp
fb,facebook
dicopotpun,dilepas pun
bansos,bantuan sosial
bener,benar
bner,benar
bnar,benar
pembenerannya,pembenarannya
pake,pakai
pke,pakai
make,memakai
ttg,tentang
about,tentang
tth,tentang
pinal,final
tahapam,tahapan
titikno,titiknya
hbis,habis
hbs,habis
kmbali,kembali
mrasa,merasa
pantes,pantas
pbb,perserikatan bangsa bangsa
slh,salah
maslah,masalah
mslh,masalah
bmasalah,bermasalah
brmasalah,bermasalah
funalty,penalti
jng,jangan
jgn,jangan
propinsi,provinsi
propinsipun,provinsi pun
endasmu,kepalamu
khan,kan
kn,kan
kannn,kan
soko,fondasi
ijasah,ijazah
falsu,palsu
ap,apa
apaaaaa,apa
sich,sih
yach,ya
jk,jika
mbulet,bulat
nyesekkk,menyesak
real,nyata
ril,nyata
pendptan,pendapatan
ahy,agus harimurti yudhoyono
pragib,prabowo gibran
wowo,prabowo
doank,doang
ktp,kartu tanda penduduk
hsl,hasil
kecurangn,kecurangan
ln,luar negeri
boss,bos
deal,kesepakatan
membodihin,membodohi
almat,alamat
pd,pada
pda,pada
kaboor,kabur
nekad,nekat
dholim,zalim
mendholimi,menzalimi
hti,hati
tsm,terstruktur sistematis masif
fam,keluarga
komnas,komisi nasional
ham,hak asasi manusia
hrs,harus
hrus,harus
hrsnya,harusnya
psl,pasal
k,ke
ui,universitas indonesia
itb,insitut teknologi bandung
sp ,siapa
syp,siapa
sbypdahy ,surabaya pindahnya
hk,hak
npk,pupuk yang mengandung unsur nitrogen fosfor dan kalium
tuhun,tahun
hrganya,harganya
inget,ingat
surveyor,petugas survei tanah
trnyata,ternyata
drpda,daripada
drpada,daripada
drpd,daripada
pdhal,padahal
pdhl,padahal
hmpir,hampir
pcya,percaya
prcaya,percaya
percatmya,percaya
apbn,anggaran pendapatan dan belanja negara
blt,bantuan langsung tunai
anaknua,anaknya
fee,biaya
bayangin,bayangkan
laen,lain
isapan,hisapan
nyugok,menyuap
pncitraan,pencitraan
mrakyat,merakyat
rkyt,rakyat
sy,saya
ane,saya
w,saya
gue,saya
gw,saya
ndas,kepala
massif,masif
berseliweran,berjalan kian kemari
brjln,berjalan
terendus,tercium
sebenernya,sebenarnya
actual,sebenarnya
war,perang
ngotot,tidak mau mengalah
ngototan,tidak mau mengalah
mentok,buntu
bsok,besok
denger,dengar
hearing,mendengar
dady,ayah
ayh,ayah
pa,bapak
pak,bapak
bapa,bapak
barengan,berbarengan
outfit,pakaian
kuok,kok
koq,kok
dgaf,tidak peduli
xputaran,kali putaran
kelaliman,penindasan
mengcegah,mencegah
pinter,pintar
pinteran,pintar
lho,loh
du,di
ei,di
nyari,mencari
mencri,mencari
ngada,membayangkan sesuatu yang belum terjadi
misoginis,orang yang membenci wanita
smw,semua
semu,semua
walmur,wali murid
jaman,zaman
jmn,zaman
sgt,sangat
kkacauan,kekacauan
tmn,teman
temen,teman
rek,teman
teman,temannya
matahin,mematahkan
solat,salat
khusyu,khusyuk
diinfokn,diinformasikan
dibilg,dikatakan
gkbpnting,tidak berkepentingan 
btw,omong omong
eman,sayang sekali
pro,setuju
kontra,menentang
ngalir,mengalir
ngasi,memberi
ngsh,memberi
taunya,tahunya
dikasi,dikasih
cmn,hanya
cm,hanya
hny,hanya
hnya,hanya
tracking,melacak
ngebacot,banyak bicara
ngoceh,cerewet
jempolan,hebat
privileged,istimewa
okey,oke
ok,oke
bhg,bohong
bhong,bohong
pembojongan,pembohongan
makin,semakin
kuyu,muram
weeks,minggu
gatau,tidak tahu
ntah,tidak tahu
scr,secara
scra,secara
digaungkan,di gema kan
ngeledek,mengejek
populis,penganut paham populisme
banter,tinggi
menghimbau,mengimbau
lbih,lebih
lbh,lebih
ktm,ketemu
nmpk,tampak
ybs,yang bersangkutan
petitum ,bagian surat gugat yang dimohon untuk diputuskan atau diperintahkan oleh keadilan
duiknya,duitnya
mn,mana
ngepost,mengunggah
memposting,mengunggah
up,unggah
repost,mengunggah ulang
postingan,unggahan
post,unggahan
rape,pemerkosaan
rapist,pelaku kekerasan seksual
nyinyir,cerewet
smi,sri mulyani indrawati
hnw,hidayat nur wahid
jkw,jokowi
goreng,serang
ngegoreng,menyerang
crowds ,kerumunan
yelling,berteriak
while,ketika
delivering,menyampaikan
hdp,hidup
y,ya
yaa,ya
ny,nya
krj,kerja
dsrh,disuruh
menberantas,memberantas
betmen,manusia kelelawar
seret,tersendat
dimasukin,dimasukkan
pssi,persatuan sepakbola seluruh indonesia
dco,dibeli
biasalah,biasanya
vs,versus
official,resmi
bersabarrr,bersabar
menjatugkan,menjatuhkan
akeh,banyak
sg,yang
yo ,juga
nk,kalau
ojo,tidak usah 
memnaca,membaca
gedek,kesal
hashtag,tagar
mager,malas gerak
chaos,kacau
extra,ekstra
millennial,milenial
sop,standar operasional prosedur
ngopi,minum kopi
rw,rukun warga
hello,halo
hallo,halo
hy,hai
hatespeech,ujaran kebencian
dds,kunjungan dari rumah ke rumah
binaanya,binaannya
kab,kabupaten
kec,kecamatan
kel,kelurahan
tinggl,tinggal
lngsung,langsung
lgsung,langsung
lgsg,langsung
tecantum,tercantum
mnding,mending
hpus,hapus
hps,hapus
kaliannn,kalian
protapnya,prosedur tetapnya
panser,kendaraan tempur lapis baja
barracuda,kendaraan tempur lapis baja
mudoratnya,mudaratnya
ama,sama
sm,sama
pingin,ingin
pengen,ingin
pemakzulan,pemberhentian
makzulin,berhentikan
dimakzulkan,diberhentikan
bhkan,bahkan
or,atau
ditelen,ditelan
tl,halaman utama
nebar,menebar
wte,waktu untuk berkumpul
gaenak,tidak enak
melek,sadar
terina,terima
gede,besar
sender,pengirim
rohil,rokan hilir
leaflet,selebaran
nervous,gugup
reply,membalas
rs,rumah sakit
simpatisan,pendukung
pendkung,pendukung
pndkung,pendukung
wib,waktu indonesia bagian barat
wit,waktu indonesia bagian timur
wita,waktu indonesia bagian tengah
banit,anggota
bintibsos,bintara pembina keamanan dan ketertiban masyarakat
dubes,duta besar
apalg,apalagi
receh,remeh
tpp,tim pemberdayaan pembangunan
kemendes,kementerian desa
d,di
mulu,melulu
highlight,sorotan
mafindo,masyarakat anti  fitnah indonesia
fisip,fakultas ilmu sosial dan politik
framing ,desain
proportional,proporsional
akbp,ajun komisaris besar polisi
akuntable,dapat dipertanggungjawabkan
culture,budaya
ops,operasi
ngitung,menghitung
km,kamu
krg,kurang
rl,kehidupan nyata
mention,menyebut
ull,kamu akan
find,menemukan
urself,dirimu
di,di
called,panggil
sok,belagak
all in,totalitas
sdri,sendiri
dubbling,mengisi suara
sambang,melakukan penyuluhan
th,tahun
pemulu,pemilihan umum
pehelatan,penyelenggaraan
kak,kakak
mba,kakak
mbak,kakak
wasdapai,waspadai
nyebar,menyebar
ciptakan,menciptakan
eks,mantan
deket,dekat
vgh,villa gading harapan
kultus,penyembahan
kadrun,politisi yang tidak konsisten
tag,menandai
semalem,semalam
sms,layanan pesan singkat
nyenggol,menyentuh
aalah,alah
science,ilmu pengetahuan
ngeriii,mengerikan
masyarakt,masyarakat
msyrkt,masyarakat
walopun,walaupun
ngawal,mengawal
dijembrengin,disajikan
kelar,selesai
biar,agar
politic,politik
iz,itu
dirty,kotor
keburukkan,keburukan
milih,memilih
yok,mari
sambangi,mengunjungi
congornya,mulut nya
ngomongin,membicarakan
ngm,bicara
thread,pembahasan
like wtf,seperti tidak masuk akal
fearmongering,menyebarkan ketakutan
tiap,setiap
diwanti,diingatkan
pinteran,lebih cerdas
ngurus,mengurus
komen,komentar
gerakin,menggerakan
syaraf,saraf
berjamaah,berjemaah
wondering,heran
explicitly,secara eksplisit
new,berita
berati,berarti
insane,gila
theseday,akhir akhir ini
macem,macam
loser,pecundang
pmenang,pemenang
alesan,alasan
napas,nafas
psati,pasti
psti,pasti
pst,pasti
melenceng,menyimpang dari arah yang seharusnya
ngeyel,sulit diberi tahu
skali,sekali
skl,sekali
skli,sekali
tnp,tanpa
sbt,sebut
hr,hari
circle,grup
omon,omongan
respect,hormat
doyan,gemar sekali
nefara,negara
dini,sini
dp,dengan uang muka
dbilang,dikatakan
